SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price
1719,4,1,Suburb,1953,190659.43496867083
2772,3,2,Urban,1968,284985.43569363654
1337,3,3,Urban,1970,214741.228522745
1878,2,1,Suburb,1964,128693.02879404814
2076,3,2,Rural,1966,184051.98271688656
1791,5,3,Rural,2003,242865.26019000952
2945,5,1,Urban,1986,295356.77549321775
1216,4,3,Rural,2003,107868.93208831895
1763,4,2,Urban,1971,207380.13609180792
1187,5,3,Suburb,1957,132828.81413178446
1379,3,1,Urban,1960,84493.6913127725
1492,3,1,Suburb,2019,53360.86540604882
2064,2,3,Rural,1958,296199.3496255564
2180,4,1,Urban,1951,273924.557395998
1014,3,3,Urban,1981,204340.7258965054
2836,3,3,Urban,2000,228582.09695971967
1064,4,2,Suburb,1986,237384.3466275038
2880,5,2,Rural,1955,312245.8679787154
2862,3,3,Urban,1961,219408.62496043238
1520,2,1,Rural,2003,201334.94160447217
2367,3,2,Suburb,1995,221413.57760818722
2152,3,1,Rural,1982,306839.62194227794
1647,2,3,Urban,1967,126756.3572316613
2495,5,1,Urban,1987,328702.8347369156
2086,2,1,Suburb,2008,141074.02839361283
2162,2,3,Rural,1956,220712.46134879728
2522,4,2,Urban,1964,319176.8398973249
1592,3,2,Suburb,1950,245299.2098929523
1391,5,1,Rural,1995,51154.13113008726
2698,3,3,Urban,1981,314018.0283390546
1418,5,3,Suburb,1998,222904.25800629333
1288,2,2,Suburb,1959,115697.77821526627
1378,4,3,Suburb,1966,140714.77037514705
2796,2,3,Suburb,1969,178353.14814536367
2513,3,1,Suburb,2000,280022.0311214733
1230,4,1,Rural,1971,136418.4807787985
2017,4,2,Urban,1969,195803.97033590678
1040,3,2,Rural,2014,98933.43906530601
2051,5,1,Suburb,1953,185052.5631740863
1134,4,3,Urban,2003,160764.43940877952
1200,5,3,Suburb,2014,156394.27348181067
2863,5,1,Suburb,2000,333464.1490294491
1779,5,1,Urban,1960,211994.3281859909
1929,4,1,Rural,1976,252779.69087222763
2056,2,1,Urban,1975,288750.4043072761
2071,4,3,Rural,1966,185482.06063162314
1502,2,3,Suburb,1991,119671.36894790281
1406,4,2,Suburb,1997,148891.4193350198
2597,2,1,Rural,1982,235810.22355681533
2751,2,2,Suburb,2010,357765.11724448414
1804,4,3,Rural,1978,216771.35995628755
1098,5,2,Rural,2012,102580.49836622813
1683,5,3,Urban,1986,208774.14233121456
2895,2,3,Suburb,2005,302454.6401474587
1725,3,2,Urban,1965,208558.78172335384
2570,3,2,Urban,2005,276434.5399454463
1960,4,1,Suburb,1991,220786.7119550845
2762,4,3,Urban,1973,354268.47524739604
1612,4,1,Suburb,2018,142420.97226095255
2966,3,1,Suburb,1980,299146.59537507093
2485,5,3,Urban,1960,321647.4526525699
1642,4,2,Suburb,1951,216976.90806023663
2792,4,1,Suburb,2020,243179.70337319985
2028,5,1,Suburb,1984,184210.77355558553
2241,2,3,Suburb,2011,175779.56815188617
1502,4,2,Urban,2003,162271.08640489963
1766,3,2,Rural,2018,240727.03972085554
1397,3,1,Urban,2000,186900.94639311853
1870,4,3,Rural,1958,208692.1497994106
1794,3,1,Rural,1963,114333.69387419586
1392,5,2,Rural,2005,225281.32417764858
1206,2,1,Suburb,1983,110852.45257182162
2038,2,3,Rural,1950,206119.18171087178
2881,4,1,Suburb,1987,292218.3734233528
2577,4,2,Suburb,1966,209166.2973385366
1891,2,3,Suburb,1965,283220.10867648444
2484,2,3,Urban,1997,354538.82144245284
2714,4,3,Rural,1999,290954.49181524914
2598,3,3,Urban,2020,207377.55545532453
1863,4,3,Suburb,1990,267934.0925699399
1742,5,1,Urban,1993,235034.89983819606
2264,4,3,Suburb,1964,246611.88309182983
1563,4,2,Urban,2010,314867.65157339314
2020,4,3,Suburb,1999,278092.75713699666
1095,4,2,Suburb,2001,88443.38397499491
2923,4,2,Urban,2001,235396.4544878884
2757,4,2,Suburb,1985,280503.8129283642
1484,3,2,Rural,1982,273072.3372618648
2430,4,2,Urban,1994,252666.84831969367
1230,2,1,Urban,1951,133914.40680878342
1748,4,2,Suburb,1950,142717.8302268369
2678,3,2,Urban,2019,266197.0443802551
2194,5,2,Rural,1996,245433.69445927496
1540,2,1,Urban,2013,177796.40298151918
2059,4,3,Rural,1967,226582.27427106167
1524,4,2,Urban,2003,170745.4653213651
2183,2,1,Rural,1984,194059.37069774355
2862,4,1,Urban,2008,347187.40927735553
2722,3,1,Rural,1985,345978.9788809702
2266,4,3,Suburb,1975,323981.5079872238
2109,5,1,Urban,1994,185909.90163690777
2819,3,2,Urban,2018,231642.41525201904
1577,4,2,Rural,1979,181472.0115124785
1681,5,2,Urban,1982,247683.38181415357
1556,2,3,Rural,1972,174119.77971258396
2597,3,1,Suburb,1970,249931.38186463085
2976,4,2,Rural,2012,352084.04725339817
2012,4,2,Urban,2019,356256.91027704417
1645,2,2,Suburb,2017,115738.60239613194
1795,2,3,Rural,1985,265399.2764300769
2051,3,2,Rural,1986,205543.45249877236
2643,3,1,Suburb,1950,248155.87168453963
2579,3,1,Urban,1975,318796.39679075696
2363,4,3,Urban,1991,254479.2559878204
2821,4,3,Urban,1989,248782.21694158542
2981,3,3,Suburb,2002,320922.1761831169
2354,4,1,Rural,2011,265274.0039736152
2663,2,3,Suburb,1993,283301.9362070697
2529,5,3,Rural,1985,291195.67134809634
2371,4,1,Suburb,1953,240277.00975870187
2496,3,2,Rural,1970,316708.5953854667
2254,4,3,Rural,1966,267724.6993464473
1189,2,2,Suburb,1965,52033.759292684874
2248,3,2,Suburb,1990,157260.98352993536
2408,5,2,Suburb,2004,349887.387165537
2400,3,2,Rural,2006,302581.5244158059
2306,3,3,Suburb,2015,267740.43466516037
2981,3,3,Rural,1987,296942.7544003423
1632,4,3,Rural,2005,211665.6221785599
1627,5,1,Suburb,1986,240462.67775685625
1972,2,1,Urban,1999,221900.77310879895
2768,4,2,Urban,2004,337510.5084427254
2282,5,1,Rural,1950,351438.5468115283
2382,5,2,Rural,2014,207718.7411877128
1709,4,2,Urban,2014,187379.39012426994
2479,3,3,Rural,1993,325104.8263530242
2434,5,3,Urban,1961,234064.51365009736
1648,2,1,Rural,2002,168976.49535597963
1317,4,3,Rural,2010,72491.39025921248
2700,5,1,Suburb,1962,397825.33643637935
2248,2,3,Urban,1991,224680.0524200836
2842,2,3,Rural,1995,297609.7185248232
2257,2,1,Urban,1991,211357.56307458415
1683,2,2,Suburb,1965,191156.38414084713
1663,4,1,Urban,1993,198444.2855472129
2998,2,3,Rural,2019,227602.84522047613
2850,4,2,Urban,1965,227374.5843014784
2397,2,3,Suburb,1971,311492.246607957
2695,2,3,Urban,1984,341035.6518169741
2631,4,3,Urban,1998,329215.4127322002
2495,3,2,Urban,2020,189722.8949577994
2256,5,3,Urban,2013,315304.2483174342
2715,5,1,Rural,1980,229019.4794959325
2136,4,1,Urban,1950,218041.2170573715
2853,2,1,Suburb,1974,256367.86432807602
2520,4,2,Urban,1969,427589.0870411169
1441,2,1,Suburb,1957,161116.81865195103
1563,4,3,Suburb,2013,182494.88596722667
2291,5,2,Suburb,1965,276165.905109651
2533,4,3,Suburb,2004,314516.6129790323
2830,5,3,Rural,1975,272012.265169515
2409,5,3,Urban,2014,342249.54232187086
2410,5,1,Urban,1977,258023.51102204097
2136,4,1,Rural,1995,115459.88197304335
2636,3,2,Urban,2003,240419.97390434358
2648,4,2,Rural,2003,388951.7892392383
1951,4,1,Suburb,2021,250119.2128528494
2104,3,1,Urban,1998,210586.97653456446
1698,3,3,Suburb,1995,234243.624414166
1112,5,1,Urban,1950,69293.96649206044
1001,2,3,Urban,1993,163837.68243703258
1641,2,1,Urban,1953,252127.98625111562
1219,5,3,Suburb,1980,117989.35682972189
2589,4,1,Rural,1964,313948.4453118486
1854,2,1,Suburb,1950,254919.27518581902
2759,4,2,Rural,2021,197521.82717092487
2248,3,2,Urban,1955,198494.040257516
1384,3,3,Urban,1976,152204.7558913935
2426,5,2,Urban,1975,308529.3077393932
2661,4,2,Urban,2015,308854.90099919715
2153,5,1,Suburb,1962,246860.55002366885
2076,2,3,Rural,2020,225867.2386279585
2707,2,2,Rural,1983,249678.22890096114
1729,2,2,Rural,1982,108636.47522678511
2695,4,1,Urban,1989,299818.56075223465
2733,5,1,Suburb,1992,290094.597001723
2439,5,1,Urban,1956,272077.872708492
1246,2,3,Rural,1988,130941.48294297825
1835,5,1,Suburb,2015,241849.2414576917
2462,3,3,Suburb,1985,206273.30005677108
1202,3,1,Urban,2013,155086.4598591631
2207,3,2,Suburb,1953,169742.87033019328
1122,3,3,Suburb,1971,148324.403196361
1400,5,1,Suburb,2020,184460.04344561708
1766,3,1,Urban,1953,138095.4799175649
1293,3,2,Urban,2013,205414.91045580094
1279,3,2,Suburb,1971,183265.3989623526
2860,3,2,Urban,2011,284616.467279546
1883,3,1,Suburb,1989,181947.64288404406
2633,4,2,Rural,1969,284003.76941338705
1197,4,2,Rural,1958,90959.78932620135
1981,3,3,Suburb,2014,198755.14636608923
2930,3,3,Rural,1972,370459.8290291032
2534,5,3,Rural,1984,348379.26646709716
1751,3,1,Rural,2008,270704.1541412828
1143,2,3,Suburb,1963,168931.8286047524
1608,4,1,Urban,1993,189126.05140688832
2224,3,2,Suburb,1971,218168.70814067312
2147,4,1,Suburb,1977,199220.19550723606
1186,3,1,Urban,2008,129960.0168172268
2349,2,2,Suburb,1996,281507.7449630544
1463,3,3,Suburb,2017,169378.78481722157
2372,4,3,Suburb,2019,248599.10766121934
2794,4,3,Rural,1966,411678.0284271322
1659,4,2,Suburb,1980,119032.8829834174
1763,5,1,Suburb,1963,230075.0498156624
1954,4,2,Urban,1998,122604.95616584706
2955,3,2,Rural,2016,296998.838109315
1402,2,2,Rural,1970,109470.14273140584
2369,2,2,Suburb,1962,246212.1973150715
2986,3,1,Rural,1999,310583.0758590737
2534,5,3,Rural,2017,233756.8863821809
1146,3,3,Urban,1961,100102.22524595106
2171,4,2,Urban,1997,199324.84069986542
1863,5,1,Rural,2013,331026.59636098804
2734,3,2,Urban,1964,231041.34837459872
2843,5,1,Suburb,1965,333530.0633743215
1488,2,2,Urban,2021,61092.661234490224
1928,3,3,Suburb,1999,205778.31244126556
2959,3,3,Urban,1990,384570.73645143723
2663,2,2,Rural,1953,339772.9527372086
1550,5,3,Suburb,1969,186745.12964093967
1337,2,2,Urban,1957,185559.0801900139
1871,5,1,Urban,2017,213894.31463154923
1640,3,1,Suburb,1996,180978.0156828019
2802,5,1,Urban,1982,243011.57473076603
2976,5,1,Rural,1954,265075.948204332
1472,4,2,Suburb,2017,163315.12699992972
2969,4,3,Rural,1990,384847.049904619
1150,4,1,Suburb,2010,190479.19894101738
2438,2,3,Suburb,1973,204129.21432556078
2321,2,2,Suburb,1976,249930.11762966187
2634,4,3,Suburb,1978,372750.474809396
1262,3,3,Rural,2016,189650.20106156013
2787,3,3,Rural,1986,308299.31208062085
1143,3,2,Suburb,2002,95784.07401708022
1345,2,2,Suburb,1951,165456.11841318812
1623,5,2,Rural,1986,236531.66553606672
2016,2,3,Suburb,2021,212190.754931357
2595,4,1,Suburb,2014,298280.3606844734
1880,5,1,Rural,1997,172765.2509259063
1001,3,3,Rural,1998,151917.35363762768
1896,2,1,Rural,1996,196497.06930440952
2327,2,1,Urban,1953,212603.17016952918
1253,4,3,Suburb,1952,205827.91372135773
2675,3,2,Rural,1985,350608.1323068653
1452,2,1,Suburb,1955,64055.91437875759
2060,2,2,Urban,1983,202645.46873652586
2183,5,1,Rural,2001,215636.3058238462
2014,2,3,Rural,1980,210336.9814886116
1008,5,3,Suburb,1983,161063.73607289075
2256,2,2,Suburb,1991,162732.68100454088
2122,3,2,Rural,1997,283190.3905839381
2682,4,2,Rural,2005,257018.55714456557
1815,3,2,Suburb,1967,161315.08881199546
1207,4,3,Suburb,1963,171344.51259950385
2154,2,3,Rural,2018,301758.3277786632
1403,3,3,Urban,2007,186512.31866156854
1151,5,2,Suburb,2019,147961.73986336417
1053,4,3,Suburb,2005,96856.0932254072
2143,4,3,Suburb,2002,241976.24174705177
2696,2,1,Rural,2018,256546.84581714938
2943,4,1,Rural,2009,245612.12503446644
1627,4,1,Rural,1981,192616.91072899688
1586,4,2,Suburb,1996,234537.62534371638
2648,2,2,Suburb,1971,266525.8016301305
2991,3,3,Urban,1953,411274.8172102008
2443,2,3,Rural,1974,241617.27376623056
2445,5,2,Rural,2010,230463.81535562873
1103,4,1,Suburb,1961,249885.94696430844
2875,4,3,Suburb,1980,320712.17394718895
1253,3,1,Urban,1950,131536.1635751427
2250,4,3,Suburb,2010,258681.64856947906
2135,3,1,Suburb,1955,236721.57971005858
1509,4,3,Suburb,1971,152417.95938444213
2496,4,1,Urban,1961,277449.0163566118
1098,2,1,Urban,1972,97639.64420350434
1152,2,2,Urban,1984,68864.72803706494
2884,5,3,Urban,1963,292602.0202390748
1913,3,1,Urban,1979,163126.63462798466
2919,5,2,Rural,1971,316117.1565885165
1877,2,3,Suburb,1965,173591.51575437415
1337,3,2,Urban,2020,245240.86934782268
2729,2,1,Urban,1964,299136.08095898724
1821,3,3,Urban,1951,102620.91177154331
2186,4,1,Urban,1971,174740.9101274219
2743,5,1,Suburb,2012,303839.76221234776
1956,5,2,Suburb,1964,255500.65029565291
2704,3,1,Rural,1968,305226.1480002337
1160,5,3,Suburb,1970,174048.9195625192
2603,2,2,Urban,1976,240369.9407103269
1800,5,1,Urban,1968,310732.5930169608
1397,3,1,Urban,1975,125680.08165265151
2300,5,1,Urban,1998,303253.7531069421
1815,5,2,Suburb,2007,137931.9765937645
2939,2,3,Suburb,2016,238181.44457414243
2527,4,2,Rural,1974,299144.4834011201
2919,2,1,Suburb,1971,340122.3586828582
2415,5,2,Urban,1963,230193.17872318526
2158,5,1,Urban,1958,300494.89658879273
2218,4,2,Suburb,1971,267560.2687840433
1400,4,1,Rural,1964,173748.30901295756
1639,2,2,Rural,1989,198112.8732028993
2056,4,1,Suburb,2014,237224.42820565245
1687,2,1,Suburb,2002,130383.64975103101
1459,3,2,Suburb,1980,248587.29005790915
1954,5,2,Urban,1959,268826.7410314462
2906,4,1,Suburb,1983,307426.13760987023
1469,3,3,Suburb,1986,224293.97218700784
2398,3,1,Rural,1962,335992.37884796556
2045,2,1,Rural,1987,265649.0843029641
1749,2,3,Urban,1994,218960.64723109922
2693,4,1,Rural,1959,257512.558546102
1037,2,2,Rural,1971,86619.3046619419
1229,3,2,Suburb,2010,48780.11212797354
2388,3,3,Rural,1987,274896.26156200573
1562,5,1,Rural,2007,181237.83172594447
1437,3,2,Rural,1975,49052.37096077934
2799,4,1,Rural,1998,182649.23827465356
2306,5,3,Rural,2011,347942.00526169845
1026,2,2,Rural,1958,31998.01567703142
1225,5,3,Rural,2009,181103.2634891242
2300,3,1,Rural,1979,172216.0833107921
1797,4,1,Urban,1970,273262.8516738026
2632,2,1,Suburb,1999,306987.05161477905
1283,2,3,Rural,1978,172933.77203910236
1878,3,2,Suburb,1989,159685.44672150235
1959,4,3,Rural,1966,244916.4657968306
2504,3,2,Urban,2017,250927.64164111175
1452,3,1,Rural,2013,86276.33242040729
2019,4,1,Urban,1972,209029.94857251868
2852,3,3,Rural,1956,267060.0307693574
1815,4,2,Rural,1983,158867.81990114367
1658,4,1,Suburb,1973,200254.71870535077
2539,3,1,Rural,1956,197039.39492254212
1546,3,3,Rural,1957,251427.1553830112
2215,5,3,Urban,1952,298798.8574661124
2072,2,2,Suburb,1953,209615.38378607781
2535,2,1,Rural,2012,343628.22962201404
1016,4,2,Suburb,2015,86742.69815572829
2195,5,2,Suburb,2018,260504.83069560924
2243,4,2,Rural,1959,267664.3312110141
1157,5,3,Rural,2012,87137.890454451
1476,4,2,Rural,1986,217625.4427144939
2069,2,2,Rural,2021,179619.68105889083
2396,5,2,Rural,1952,304272.5427676434
1517,3,3,Suburb,1978,180446.9392014465
1098,3,3,Urban,2011,96810.15543797814
2915,2,1,Suburb,1982,293526.34787643905
2768,5,3,Rural,2009,333027.9076426232
2060,3,3,Suburb,1991,261561.33142323635
1279,3,2,Urban,2011,60826.5300881568
2372,3,1,Suburb,1955,278442.1634559852
1496,2,3,Rural,1998,123828.10360692852
1301,4,1,Rural,2021,88586.0572983957
1180,3,2,Rural,1992,134443.89746195945
1606,3,3,Urban,1958,136925.17083144034
2122,4,2,Rural,2000,234164.89095596637
1699,3,2,Rural,1963,150304.54943999165
1992,5,1,Rural,1973,240050.4959834057
2139,3,3,Rural,2021,277542.7034815458
1190,4,1,Suburb,1982,197241.25178700703
1252,2,2,Rural,1978,101805.59807931489
1980,2,3,Suburb,1951,197810.6222732038
1927,5,2,Urban,2001,172279.06490573462
2184,3,1,Suburb,1994,205236.28390756497
2279,3,1,Suburb,1987,206408.53323173913
2346,4,2,Suburb,1994,279439.98438546
1127,4,1,Suburb,1965,127174.72259461066
1017,5,1,Suburb,1996,127458.03900892238
2816,5,2,Suburb,1974,356063.8292210288
